,ABVP_FT,ABVP_PT,ABVT_FT,ABVT_PT,ACLAM_FT,ACLAM_PT,ACPV_FT,ACPV_PT,ACT_FT,ACT_PT,ACVAA_FT,ACVAA_PT,ACVB_FT,ACVB_PT,ACVCP_FT,ACVCP_PT,ACVD_FT,ACVD_PT,ACVECC_FT,ACVECC_PT,ACVIM_CARD_FT,ACVIM_CARD_PT,ACVIM_INTMET_FT,ACVIM_INTMET_PT,ACVIM_LA_FT,ACVIM_LA_PT,ACVIM_NEUR_FT,ACVIM_NEUR_PT,ACVIM_ONC_FT,ACVIM_ONC_PT,ACVM_FT,ACVM_PT,ACVN_FT,ACVN_PT,ACVO_FT,ACVO_PT,ACVPM_FT,ACVPM_PT,ACVP_FT,ACVP_PT,ACVR_FT,ACVR_ONC_FT,ACVR_ONC_PT,ACVR_PT,ACVSMR_FT,ACVSMR_PT,ACVS_FT,ACVS_PT,ACZM_FT,ACZM_PT,AVDC_FT,AVDC_PT,address,arthroscopy,avg_daily_ER_cases,avg_daily_cases,avg_daily_inpatient_cases,avg_daily_outpatient_cases,avg_daily_surgeries,avg_num_interns_completed_past_5_years,avg_num_interns_started_past_5_years,basic_clinical_laboratory_equipment,blood_gas_analysis,blood_pressure_monitoring,bone_plating_equipment,complex_cases,computer_with_internet,contact,contact_email,ct_scan,current_medical_textbooks,daily_patient_rounds,daytime_primary_emergency,diagnostic_laboratory,digital_radiography,direct_supervision_percentage,echocardiography,elective_time,electrocardiography,endoscopy,faculty_support,fax,financial_support_for_meeting,first_opinion,first_opinion_clinics,formal_orientation_required,icu,laparoscopy,mri,name,nuclear_medicine,num_interns_accepted_residency_past_5_years,num_interns_applied_residency_past_5_years,number_of_positions,orientation_manual,overnight_primary_emergency,phone,physical_therapy_equipment,presentation,primary_surgeon,professional_meeting_opportunity,program_categories,program_details_url,publication_requirement,resident_support,salary,satellite_clinic,search_engines,tech_assigned_to_ER,tech_assigned_to_ICU,tech_direct_support,total_annual_cases,ultrasound,vet_mentor,weekly_teaching_rounds,written_evals
80,,4,1,,1,,2,,2,,4,,0,,2,,3,,5,,4,,9,,0,,4,,4,,1,,1,,3,,1,,8,,5,3,,,0,,6,,2,,1,,"1060 William Moore Dr, Raleigh, North Carolina 27607, United States",Yes,18,83,52,31,6,0,0,Yes,Yes,Yes,Yes,Yes,Yes, Sue Chiappone ,cvm_match_program@ncsu.edu,Yes,Yes,Yes,7,Yes,Yes,100,Yes,9,Yes,Yes,51,919-513-6222,No,Yes,0,Yes,Yes,Yes,Yes,NC State University-College of Veterinary Medicine,Yes,0,0,2,No,0,919-513-6020,Yes,Yes,Yes,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/9938,No,28,30000.0,0,Yes,3,3,34,32000,Yes,Yes,Yes,Yes
81,,4,1,,1,,2,,2,,5,,0,,3,,3,,5,,5,,9,,0,,4,,4,,1,,1,,4,,1,,8,,5,3,,,0,,6,,2,,0,,"1060 William Moore Dr, Raleigh, North Carolina 27607, United States",Yes,18,83,52,31,6,11,11,Yes,Yes,Yes,Yes,Yes,Yes, Sue Chiappone ,cvm_match_program@ncsu.edu,Yes,Yes,Yes,10,Yes,Yes,90,Yes,10,Yes,Yes,51,919-513-6222,No,Yes,20,Yes,Yes,Yes,Yes,NC State University-College of Veterinary Medicine,Yes,44,47,11,No,15,919-513-6020,Yes,Yes,Yes,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/9942,No,28,30000.0,0,Yes,3,3,34,33586,Yes,Yes,Yes,Yes
84,2,2,0,2,0,0,0,1,2,1,3,0,0,0,0,0,0,3,1,0,1,0,3,1,5,0,3,1,4,0,0,2,1,0,1,1,1,1,0,9,2,2,1,0,1,0,4,1,0,2,0,0,"Veterinary Medicine &amp; Surgery, 900 East Campus Drive, Columbia, Missouri 65211, United States",Yes,1,8,9,6,5,0,0,Yes,Yes,Yes,Yes,Yes,Yes, Connie Sievert ,mucvmvmsadmin@missouri.edu,Yes,Yes,Yes,10,Yes,Yes,90,Yes,5,Yes,Yes,6,573-884-5444,Yes,Yes,90,Yes,Yes,Yes,Yes,University of Missouri College of Veterinary Medicine,Yes,0,0,1,Yes,0,573-882-1807,Yes,Yes,Yes,Yes,"['SMALL ANIMAL MEDICINE/SURGERY', 'SMALL ANIMAL SURGERY']",https://www.virmp.org/Program/Detail/9691,Yes,4,26000.0,0,Yes,1,1,5,1967,Yes,Yes,Yes,Yes
85,2,2,0,2,0,0,0,1,2,1,3,0,0,0,0,0,0,3,1,0,1,0,3,1,5,0,3,1,4,0,0,2,1,0,1,1,1,1,0,9,2,2,1,0,1,0,4,1,0,2,0,0,"Veterinary Medicine &amp; Surgery, 900 East Campus Drive, Columbia, Missouri 65211, United States",Yes,18,71,34,62,10,5,5,Yes,Yes,Yes,Yes,Yes,Yes, Connie Sievert ,mucvmvmsadmin@missouri.edu,Yes,Yes,Yes,8,Yes,Yes,90,Yes,12,Yes,Yes,38,573-884-5444,Yes,Yes,12,Yes,Yes,Yes,Yes,University of Missouri College of Veterinary Medicine,Yes,24,26,7,Yes,20,573-882-1807,Yes,Yes,Yes,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/9683,No,33,26000.0,0,Yes,1,2,29,18401,Yes,Yes,Yes,Yes
101,,1,,,,,,,,,2,,,,,,1,,3,,1,,5,,,,2,,2,,,,1,,1,,,,,,2,1,,,,,3,1,,,,1,"197 Hance Avenue, Tinton Falls, New Jersey 07724, United States",Yes,33,192,24,168,27,1,1,Yes,Yes,Yes,Yes,Yes,Yes," Jonathan Lustgarten, MS, PhD, VMD ",julie.mccarthy@rbvh.net,Yes,Yes,Yes,14,Yes,Yes,65,Yes,14,Yes,Yes,44,732-704-9504,Yes,Yes,42,Yes,Yes,Yes,Yes,Red Bank Veterinary Hospital,Yes,,,1,Yes,21,732-747-3636,Yes,Yes,Yes,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/10292,No,8,30000.0,7,Yes,3,2,25,70000,Yes,Yes,Yes,Yes
102,,1,,,,,,,,,2,,,,,,1,,3,,1,,5,,,,2,,2,,,,1,,1,,,,,,2,1,,,,,3,1,,,,1,"197 Hance Avenue, Tinton Falls, New Jersey 07724, United States",Yes,33,192,24,168,27,15,15,Yes,Yes,Yes,Yes,Yes,Yes," Elizabeth Orcutt, DVM, MS, Diplomate ACVIM (Small Animal Internal Medicine) ",julie.mccarthy@rbvh.net,Yes,Yes,Yes,14,Yes,Yes,65,Yes,14,Yes,Yes,44,732-704-9504,Yes,Yes,42,Yes,Yes,Yes,Yes,Red Bank Veterinary Hospital,Yes,26,41,15,Yes,21,732-747-3636,Yes,Yes,Yes,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/10118,No,8,30000.0,0,Yes,2,2,25,70000,Yes,Yes,Yes,Yes
125,,,,,,,,,,,,,,,,,,,1,,,1,3,,,,2,,,1,,,,,,,,,,,,,1,1,,,4,,,,,,"4641 Colorado Blvd, Los Angeles, California 90039, United States",Yes,9-20,55,15-20,20-30,4-8/,7,7,Yes,Yes,Yes,Yes,Yes,Yes, Mr. Steven Katz ,asgvets@asgvets.com,Yes,Yes,Yes,15,Yes,Yes,95,Yes,0,Yes,Yes,15,818-507-9418,No,Yes,15,Yes,Yes,Yes,Yes,"VCA Animal Specialty Group, Los Angeles",No,7,12,9,Yes,15,818-244-7977,Yes,No,No,Yes,"['EMERGENCY MEDICINE/CRITICAL CARE', 'SMALL ANIMAL MEDICINE/SURGERY', 'SMALL ANIMAL SURGERY', 'ONCOLOGY', 'NEUROLOGY', 'SMALL ANIMAL INTERNAL MEDICINE']",https://www.virmp.org/Program/Detail/10130,No,3,45760.0,0,Yes,1,2,26,15000,Yes,Yes,Yes,Yes
126,,,,,,,,,,,,,,,,,,,1,,,1,3,,,,2,,,1,,,,,,,,,,,,,1,1,,,4,,,,,,"4641 Colorado Blvd, Los Angeles, California 90039, United States",Yes,9-20,50,15-20,20-30,4-8,1,1,Yes,Yes,Yes,Yes,Yes,Yes," Steven Katz, Hospital Administrator ",asgvets@asgvets.com,Yes,Yes,Yes,50,Yes,Yes,80,Yes,0,Yes,Yes,15,818-507-9418,No,Yes,0,Yes,Yes,Yes,Yes,"VCA Animal Specialty Group, Los Angeles",Yes,1,1,1,Yes,0,818-244-7977,Yes,Yes,No,Yes,"['EMERGENCY MEDICINE/CRITICAL CARE', 'SMALL ANIMAL MEDICINE/SURGERY', 'OTHER']",https://www.virmp.org/Program/Detail/10134,No,3,45760.0,0,Yes,1,2,26,15000,Yes,Yes,Yes,Yes
150,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,1,,1,,,,,,,,,,,1,,,1,,,1,1,,,,,"860 Topsail Road, Mount Pearl, Newfoundland and Labrador A1N 3J7, Canada",Yes,7-20,15-30,7-15,10-20,3-6,2,2,Yes,Yes,Yes,Yes,Yes,Yes, John MacKenzie ,jmackenzie@vscnl.ca,Yes,Yes,Yes,0,Yes,Yes,100,Yes,5,Yes,Yes,6,709-221-7883,Yes,Yes,0,Yes,Yes,Yes,No,Veterinary Specialty Centre of Newfoundland and Labrador,No,0,2,1,Yes,0,709-221-7838,No,Yes,No,Yes,"['EMERGENCY MEDICINE/CRITICAL CARE', 'SMALL ANIMAL MEDICINE/SURGERY', 'SMALL ANIMAL SURGERY', 'DIAGNOSTIC IMAGING AND RADIOLOGY']",https://www.virmp.org/Program/Detail/10184,Yes,0,40000.0,0,Yes,1,2,12,6000,Yes,Yes,Yes,Yes
151,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,1,,1,,,,,,,,,,,1,,,1,,,1,1,,,,,"860 Topsail Road, Mount Pearl, Newfoundland and Labrador A1N 3J7, Canada",Yes,7-20,15-30,7-15,10-20,3-6,4,4,Yes,Yes,Yes,Yes,Yes,Yes, John MacKenzie ,jmackenzie@vscnl.ca,Yes,Yes,Yes,20,Yes,Yes,100,Yes,10,Yes,Yes,6,709-221-7883,Yes,Yes,0,Yes,Yes,Yes,No,Veterinary Specialty Centre of Newfoundland and Labrador,No,0,4,4,Yes,20,709-221-7838,No,Yes,No,Yes,"['EMERGENCY MEDICINE/CRITICAL CARE', 'SMALL ANIMAL MEDICINE/SURGERY', 'SMALL ANIMAL SURGERY', 'DIAGNOSTIC IMAGING AND RADIOLOGY']",https://www.virmp.org/Program/Detail/10182,Yes,0,35000.0,0,Yes,1,2,12,6000,Yes,Yes,Yes,Yes
